INFO:__main__:args:[Namespace(gpuFrac=0.3, gpuNum=3, random=True, sequential=False)]
INFO:__main__:startTime:[06:00:00] - endTime:[18:00:00]
INFO:__main__:state_size:[3]
INFO:__main__:action_size:[2]
INFO:__main__:_________________________________________________________________
INFO:__main__:Layer (type)                 Output Shape              Param #   
INFO:__main__:=================================================================
INFO:__main__:dense_1 (Dense)              (None, 128)               512       
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_2 (Dense)              (None, 64)                8256      
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_3 (Dense)              (None, 32)                2080      
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_4 (Dense)              (None, 16)                528       
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_5 (Dense)              (None, 8)                 136       
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_6 (Dense)              (None, 2)                 18        
INFO:__main__:=================================================================
INFO:__main__:Total params: 11,530
INFO:__main__:Trainable params: 11,530
INFO:__main__:Non-trainable params: 0
INFO:__main__:_________________________________________________________________
INFO:__main__:epsilon_decay:[0.995], epsilon:[1.0], learning_rate:[0.001], memory:[deque([], maxlen=1000)], state_size:[3], action_size:[2], epsilon_min:[0.01], model:[<keras.models.Sequential object at 0x7fcfc0cad990>], gamma:[0.95]
INFO:__main__:minGameScore:[425], minGameSequence:[50], gameMinutesLength:[500], batch_size:[128]
INFO:__main__:episode: 65, state: init state:[[18 52  0]], score: [-76], loss:[0.668377705645], sequence:[0], random actions:[354], e:[0.72]
INFO:__main__:episode: 66, state: init state:[[22 50  0]], score: [-22], loss:[0.602406906401], sequence:[0], random actions:[346], e:[0.72]
INFO:__main__:episode: 67, state: init state:[[19 57  0]], score: [6], loss:[0.462413579017], sequence:[0], random actions:[367], e:[0.71]
INFO:__main__:episode: 68, state: init state:[[ 8 36  1]], score: [154], loss:[0.72971985579], sequence:[0], random actions:[353], e:[0.71]
INFO:__main__:episode: 69, state: init state:[[15 32  1]], score: [-40], loss:[0.728148881514], sequence:[0], random actions:[350], e:[0.71]
INFO:__main__:episode: 70, state: init state:[[10 26  1]], score: [40], loss:[0.554145673444], sequence:[0], random actions:[352], e:[0.7]
INFO:__main__:episode: 71, state: init state:[[16 14  1]], score: [-4], loss:[1.02978370174], sequence:[0], random actions:[333], e:[0.7]
INFO:__main__:episode: 72, state: init state:[[19 13  0]], score: [-16], loss:[0.433601408501], sequence:[0], random actions:[357], e:[0.7]
INFO:__main__:episode: 73, state: init state:[[12 11  1]], score: [68], loss:[0.573382978946], sequence:[0], random actions:[351], e:[0.69]
INFO:__main__:episode: 74, state: init state:[[ 2 34  0]], score: [66], loss:[0.90837067422], sequence:[0], random actions:[360], e:[0.69]
INFO:__main__:episode: 75, state: init state:[[ 1 32  0]], score: [56], loss:[0.537480628871], sequence:[0], random actions:[337], e:[0.69]
INFO:__main__:episode: 76, state: init state:[[17 56  1]], score: [12], loss:[0.525750780281], sequence:[0], random actions:[350], e:[0.68]
INFO:__main__:episode: 77, state: init state:[[23 16  0]], score: [22], loss:[0.523792119289], sequence:[0], random actions:[335], e:[0.68]
INFO:__main__:episode: 78, state: init state:[[ 3 11  0]], score: [98], loss:[0.891380765825], sequence:[0], random actions:[334], e:[0.68]
INFO:__main__:episode: 79, state: init state:[[15 47  1]], score: [22], loss:[0.783707691366], sequence:[0], random actions:[352], e:[0.67]
INFO:__main__:episode: 80, state: init state:[[2 3 0]], score: [116], loss:[1.06711899728], sequence:[0], random actions:[333], e:[0.67]
INFO:__main__:episode: 81, state: init state:[[ 2 48  0]], score: [96], loss:[0.773716280898], sequence:[0], random actions:[320], e:[0.67]
INFO:__main__:episode: 82, state: init state:[[21 21  0]], score: [4], loss:[0.657583808073], sequence:[0], random actions:[336], e:[0.66]
INFO:__main__:episode: 83, state: init state:[[15  7  1]], score: [54], loss:[1.29180426416], sequence:[0], random actions:[328], e:[0.66]
