INFO:__main__:episode: 38, state: init state:[[ 1 22 23  1  0  0  0  0  0  1  1  0  0  1]], score: [127.636363636], loss:[0.00017652059542], sequence:[0], random actions:[2388], e:[0.83]
INFO:__main__:episode: 39, state: init state:[[ 1 22 40  1  0  0  0  0  0  1  1  0  0  1]], score: [116.909090909], loss:[0.000184952522465], sequence:[0], random actions:[2379], e:[0.82]
INFO:__main__:episode: 40, state: init state:[[ 1 22 57  1  0  0  0  0  0  1  1  0  0  1]], score: [121.636363636], loss:[0.000195345380669], sequence:[0], random actions:[2396], e:[0.82]
INFO:__main__:episode: 41, state: init state:[[ 1 23 14  1  0  0  0  0  0  1  1  0  0  1]], score: [141.818181818], loss:[0.000212977012363], sequence:[0], random actions:[2354], e:[0.81]
INFO:__main__:episode: 42, state: init state:[[ 1 23 31  1  0  0  1  0  0  1  1  0  0  0]], score: [133.272727273], loss:[0.000214168778947], sequence:[0], random actions:[2321], e:[0.81]
INFO:__main__:episode: 43, state: init state:[[ 1 23 48  1  0  0  0  0  0  1  1  0  0  0]], score: [125.818181818], loss:[0.000228556417767], sequence:[0], random actions:[2348], e:[0.81]
INFO:__main__:episode: 44, state: init state:[[2 0 5 1 0 0 0 0 1 1 1 0 0 0]], score: [126.909090909], loss:[0.000225673434208], sequence:[0], random actions:[2333], e:[0.8]
INFO:__main__:episode: 45, state: init state:[[ 2  0 22  1  0  0  0  0  1  0  0  0  0  0]], score: [135.090909091], loss:[0.000248170738085], sequence:[0], random actions:[2306], e:[0.8]
INFO:__main__:episode: 46, state: init state:[[ 2  0 39  0  0  1  0  0  0  0  0  0  0  0]], score: [143.272727273], loss:[0.000283722983208], sequence:[0], random actions:[2312], e:[0.79]
INFO:__main__:episode: 47, state: init state:[[ 2  0 56  0  0  1  0  0  0  0  0  0  0  0]], score: [155.818181818], loss:[0.000321687231981], sequence:[0], random actions:[2310], e:[0.79]
INFO:__main__:episode: 48, state: init state:[[ 2  1 13  0  0  0  0  0  0  0  0  0  0  0]], score: [172.545454545], loss:[0.000338511174079], sequence:[0], random actions:[2255], e:[0.79]
