INFO:__main__:args:[Namespace(gpuFrac=0.3, gpuNum=3, random=False, sequential=True)]
INFO:__main__:state_size:[3]
INFO:__main__:action_size:[2]
INFO:__main__:_________________________________________________________________
INFO:__main__:Layer (type)                 Output Shape              Param #   
INFO:__main__:=================================================================
INFO:__main__:dense_1 (Dense)              (None, 128)               512       
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_2 (Dense)              (None, 64)                8256      
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_3 (Dense)              (None, 32)                2080      
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_4 (Dense)              (None, 16)                528       
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_5 (Dense)              (None, 8)                 136       
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_6 (Dense)              (None, 2)                 18        
INFO:__main__:=================================================================
INFO:__main__:Total params: 11,530
INFO:__main__:Trainable params: 11,530
INFO:__main__:Non-trainable params: 0
INFO:__main__:_________________________________________________________________
INFO:__main__:epsilon_decay:[0.995], epsilon:[1.0], learning_rate:[0.001], memory:[deque([], maxlen=500)], state_size:[3], action_size:[2], epsilon_min:[0.01], model:[<keras.models.Sequential object at 0x7fca8a199990>], gamma:[0.95]
INFO:__main__:minGameScore:[250], minGameSequence:[50], gameMinutesLength:[300], batch_size:[200]
INFO:__main__:episode: 54, state: init state:[[23  1  0]], score: [90], loss:[0.00545215626744], sequence:[0], random actions:[226], e:[0.76]
INFO:__main__:episode: 55, state: init state:[[23 18  1]], score: [74], loss:[0.00413359814113], sequence:[0], random actions:[236], e:[0.76]
INFO:__main__:episode: 56, state: init state:[[23 35  1]], score: [88], loss:[0.0227240517457], sequence:[0], random actions:[214], e:[0.76]
INFO:__main__:episode: 57, state: init state:[[23 52  0]], score: [72], loss:[0.00281296269659], sequence:[0], random actions:[230], e:[0.75]
INFO:__main__:episode: 58, state: init state:[[0 9 0]], score: [88], loss:[0.0587618294385], sequence:[0], random actions:[230], e:[0.75]
INFO:__main__:episode: 59, state: init state:[[ 0 26  1]], score: [88], loss:[0.128016693587], sequence:[0], random actions:[222], e:[0.74]
INFO:__main__:episode: 60, state: init state:[[ 0 43  0]], score: [98], loss:[0.0166840384539], sequence:[0], random actions:[218], e:[0.74]
INFO:__main__:episode: 61, state: init state:[[1 0 0]], score: [80], loss:[0.00473993065546], sequence:[0], random actions:[224], e:[0.74]
INFO:__main__:episode: 62, state: init state:[[ 1 17  0]], score: [72], loss:[0.274604187738], sequence:[0], random actions:[225], e:[0.73]
INFO:__main__:episode: 63, state: init state:[[ 1 34  0]], score: [70], loss:[0.417628412787], sequence:[0], random actions:[201], e:[0.73]
INFO:__main__:episode: 64, state: init state:[[ 1 51  1]], score: [10], loss:[0.522913949766], sequence:[0], random actions:[222], e:[0.73]
INFO:__main__:episode: 65, state: init state:[[2 8 0]], score: [0], loss:[0.438734220256], sequence:[0], random actions:[228], e:[0.72]
INFO:__main__:episode: 66, state: init state:[[ 2 25  0]], score: [20], loss:[0.611924026107], sequence:[0], random actions:[210], e:[0.72]
INFO:__main__:episode: 67, state: init state:[[ 2 42  0]], score: [40], loss:[0.540586862922], sequence:[0], random actions:[223], e:[0.71]
INFO:__main__:episode: 68, state: init state:[[ 2 59  1]], score: [-12], loss:[0.555658784853], sequence:[0], random actions:[200], e:[0.71]
INFO:__main__:episode: 69, state: init state:[[ 3 16  1]], score: [22], loss:[0.512739802944], sequence:[0], random actions:[210], e:[0.71]
INFO:__main__:episode: 70, state: init state:[[ 3 33  0]], score: [26], loss:[0.511950888038], sequence:[0], random actions:[219], e:[0.7]
INFO:__main__:episode: 71, state: init state:[[ 3 50  0]], score: [-6], loss:[0.555310529526], sequence:[0], random actions:[206], e:[0.7]
INFO:__main__:episode: 72, state: init state:[[4 7 1]], score: [32], loss:[0.455157527127], sequence:[0], random actions:[214], e:[0.7]
INFO:__main__:episode: 73, state: init state:[[ 4 24  0]], score: [34], loss:[0.573144846757], sequence:[0], random actions:[198], e:[0.69]
INFO:__main__:episode: 74, state: init state:[[ 4 41  0]], score: [40], loss:[0.713942379959], sequence:[0], random actions:[198], e:[0.69]
INFO:__main__:episode: 75, state: init state:[[ 4 58  1]], score: [38], loss:[0.291821048381], sequence:[0], random actions:[200], e:[0.69]
INFO:__main__:episode: 76, state: init state:[[ 5 15  0]], score: [100], loss:[0.437425982272], sequence:[0], random actions:[183], e:[0.68]
INFO:__main__:episode: 77, state: init state:[[ 5 32  1]], score: [96], loss:[0.141295932519], sequence:[0], random actions:[196], e:[0.68]
INFO:__main__:episode: 78, state: init state:[[ 5 49  0]], score: [100], loss:[0.116192286521], sequence:[0], random actions:[194], e:[0.68]
INFO:__main__:episode: 79, state: init state:[[6 6 1]], score: [106], loss:[0.0370202428879], sequence:[0], random actions:[182], e:[0.67]
INFO:__main__:episode: 80, state: init state:[[ 6 23  0]], score: [106], loss:[0.00745583352095], sequence:[0], random actions:[192], e:[0.67]
INFO:__main__:episode: 81, state: init state:[[ 6 40  1]], score: [110], loss:[0.00787792925498], sequence:[0], random actions:[208], e:[0.67]
