INFO:__main__:args:[Namespace(gpuFrac=0.3, gpuNum=2, random=False, sequential=True)]
INFO:__main__:startTime:[14:00:00] - endTime:[18:00:00]
INFO:__main__:state_size:[3]
INFO:__main__:action_size:[2]
INFO:__main__:_________________________________________________________________
INFO:__main__:Layer (type)                 Output Shape              Param #   
INFO:__main__:=================================================================
INFO:__main__:dense_1 (Dense)              (None, 128)               512       
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_2 (Dense)              (None, 64)                8256      
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_3 (Dense)              (None, 32)                2080      
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_4 (Dense)              (None, 16)                528       
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_5 (Dense)              (None, 8)                 136       
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_6 (Dense)              (None, 2)                 18        
INFO:__main__:=================================================================
INFO:__main__:Total params: 11,530
INFO:__main__:Trainable params: 11,530
INFO:__main__:Non-trainable params: 0
INFO:__main__:_________________________________________________________________
INFO:__main__:epsilon_decay:[0.995], epsilon:[1.0], learning_rate:[0.001], memory:[deque([], maxlen=500)], state_size:[3], action_size:[2], epsilon_min:[0.01], model:[<keras.models.Sequential object at 0x7f113d1a9990>], gamma:[0.95]
INFO:__main__:minGameScore:[255], minGameSequence:[50], gameMinutesLength:[300], batch_size:[200]
INFO:__main__:episode: 60, state: init state:[[ 0 43  1]], score: [60], loss:[0.00320171083446], sequence:[0], random actions:[241], e:[0.74]
INFO:__main__:episode: 61, state: init state:[[1 0 0]], score: [108], loss:[0.0137074583605], sequence:[0], random actions:[215], e:[0.74]
INFO:__main__:episode: 62, state: init state:[[ 1 17  0]], score: [64], loss:[0.00348970099196], sequence:[0], random actions:[222], e:[0.73]
INFO:__main__:episode: 63, state: init state:[[ 1 34  1]], score: [100], loss:[0.00188670167488], sequence:[0], random actions:[218], e:[0.73]
INFO:__main__:episode: 64, state: init state:[[ 1 51  1]], score: [68], loss:[0.00540099146172], sequence:[0], random actions:[211], e:[0.73]
INFO:__main__:episode: 65, state: init state:[[2 8 1]], score: [74], loss:[0.0387548866728], sequence:[0], random actions:[230], e:[0.72]
INFO:__main__:episode: 66, state: init state:[[ 2 25  1]], score: [82], loss:[0.0449353497648], sequence:[0], random actions:[232], e:[0.72]
INFO:__main__:episode: 67, state: init state:[[ 2 42  1]], score: [90], loss:[0.0539972780575], sequence:[0], random actions:[210], e:[0.71]
INFO:__main__:episode: 68, state: init state:[[ 2 59  1]], score: [102], loss:[0.0428557707569], sequence:[0], random actions:[217], e:[0.71]
INFO:__main__:episode: 69, state: init state:[[ 3 16  0]], score: [98], loss:[0.083660482198], sequence:[0], random actions:[211], e:[0.71]
INFO:__main__:episode: 70, state: init state:[[ 3 33  1]], score: [78], loss:[0.0334800768521], sequence:[0], random actions:[216], e:[0.7]
INFO:__main__:episode: 71, state: init state:[[ 3 50  1]], score: [48], loss:[0.0181445671612], sequence:[0], random actions:[221], e:[0.7]
INFO:__main__:episode: 72, state: init state:[[4 7 0]], score: [92], loss:[0.00115216028135], sequence:[0], random actions:[220], e:[0.7]
INFO:__main__:episode: 73, state: init state:[[ 4 24  1]], score: [60], loss:[0.00313133859354], sequence:[0], random actions:[209], e:[0.69]
INFO:__main__:episode: 74, state: init state:[[ 4 41  0]], score: [88], loss:[0.0221662424938], sequence:[0], random actions:[219], e:[0.69]
