INFO:__main__:args:[Namespace(gpuFrac=0.3, gpuNum=3, random=False, sequential=True)]
INFO:__main__:startTime:[06:00:00] - endTime:[18:00:00]
INFO:__main__:state_size:[3]
INFO:__main__:action_size:[2]
INFO:__main__:_________________________________________________________________
INFO:__main__:Layer (type)                 Output Shape              Param #   
INFO:__main__:=================================================================
INFO:__main__:dense_1 (Dense)              (None, 128)               512       
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_2 (Dense)              (None, 64)                8256      
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_3 (Dense)              (None, 32)                2080      
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_4 (Dense)              (None, 16)                528       
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_5 (Dense)              (None, 8)                 136       
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_6 (Dense)              (None, 2)                 18        
INFO:__main__:=================================================================
INFO:__main__:Total params: 11,530
INFO:__main__:Trainable params: 11,530
INFO:__main__:Non-trainable params: 0
INFO:__main__:_________________________________________________________________
INFO:__main__:epsilon_decay:[0.995], epsilon:[1.0], learning_rate:[0.001], memory:[deque([], maxlen=1000)], state_size:[3], action_size:[2], epsilon_min:[0.01], model:[<keras.models.Sequential object at 0x7f38321a9990>], gamma:[0.95]
INFO:__main__:minGameScore:[425], minGameSequence:[50], gameMinutesLength:[500], batch_size:[128]
INFO:__main__:episode: 75, state: init state:[[ 4 58  1]], score: [138], loss:[0.296616373688], sequence:[0], random actions:[342], e:[0.69]
INFO:__main__:episode: 76, state: init state:[[ 5 15  0]], score: [112], loss:[0.485170000742], sequence:[0], random actions:[345], e:[0.68]
INFO:__main__:episode: 77, state: init state:[[ 5 32  0]], score: [134], loss:[0.188216314597], sequence:[0], random actions:[335], e:[0.68]
INFO:__main__:episode: 78, state: init state:[[ 5 49  0]], score: [98], loss:[0.169587703463], sequence:[0], random actions:[340], e:[0.68]
INFO:__main__:episode: 79, state: init state:[[6 6 1]], score: [192], loss:[0.0835288891302], sequence:[0], random actions:[326], e:[0.67]
INFO:__main__:episode: 80, state: init state:[[ 6 23  0]], score: [174], loss:[0.048305281856], sequence:[0], random actions:[349], e:[0.67]
INFO:__main__:episode: 81, state: init state:[[ 6 40  1]], score: [144], loss:[0.0139165676325], sequence:[0], random actions:[338], e:[0.67]
INFO:__main__:episode: 82, state: init state:[[ 6 57  0]], score: [166], loss:[0.0154775190318], sequence:[0], random actions:[343], e:[0.66]
INFO:__main__:episode: 83, state: init state:[[ 7 14  0]], score: [204], loss:[0.00572280854264], sequence:[0], random actions:[322], e:[0.66]
INFO:__main__:episode: 84, state: init state:[[ 7 31  1]], score: [178], loss:[0.016056962304], sequence:[0], random actions:[334], e:[0.66]
INFO:__main__:episode: 85, state: init state:[[ 7 48  0]], score: [212], loss:[0.0253399038116], sequence:[0], random actions:[309], e:[0.65]
INFO:__main__:episode: 86, state: init state:[[8 5 0]], score: [180], loss:[0.0168881166386], sequence:[0], random actions:[323], e:[0.65]
INFO:__main__:episode: 87, state: init state:[[ 8 22  1]], score: [144], loss:[0.00726420612581], sequence:[0], random actions:[338], e:[0.65]
INFO:__main__:episode: 88, state: init state:[[ 8 39  0]], score: [158], loss:[0.014297506328], sequence:[0], random actions:[318], e:[0.64]
INFO:__main__:episode: 89, state: init state:[[ 8 56  0]], score: [194], loss:[0.01126987955], sequence:[0], random actions:[325], e:[0.64]
INFO:__main__:episode: 90, state: init state:[[ 9 13  0]], score: [210], loss:[0.0612056599862], sequence:[0], random actions:[312], e:[0.64]
INFO:__main__:episode: 91, state: init state:[[ 9 30  0]], score: [200], loss:[0.0422229460883], sequence:[0], random actions:[297], e:[0.63]
INFO:__main__:episode: 92, state: init state:[[ 9 47  0]], score: [138], loss:[0.16434646426], sequence:[0], random actions:[322], e:[0.63]
INFO:__main__:episode: 93, state: init state:[[10  4  1]], score: [162], loss:[0.111885698624], sequence:[0], random actions:[310], e:[0.63]
INFO:__main__:episode: 94, state: init state:[[10 21  0]], score: [196], loss:[0.288886968371], sequence:[0], random actions:[306], e:[0.62]
INFO:__main__:episode: 95, state: init state:[[10 38  1]], score: [144], loss:[0.313160159711], sequence:[0], random actions:[317], e:[0.62]
INFO:__main__:episode: 96, state: init state:[[10 55  1]], score: [112], loss:[0.283220928957], sequence:[0], random actions:[306], e:[0.62]
INFO:__main__:episode: 97, state: init state:[[11 12  1]], score: [172], loss:[0.309093242179], sequence:[0], random actions:[308], e:[0.61]
INFO:__main__:episode: 98, state: init state:[[11 29  1]], score: [132], loss:[0.372831641354], sequence:[0], random actions:[304], e:[0.61]
INFO:__main__:episode: 99, state: init state:[[11 46  0]], score: [72], loss:[0.49342028156], sequence:[0], random actions:[313], e:[0.61]
INFO:__main__:episode: 100, state: init state:[[12  3  0]], score: [90], loss:[0.622363967093], sequence:[0], random actions:[303], e:[0.61]
INFO:__main__:episode: 101, state: init state:[[12 20  1]], score: [82], loss:[0.578154285103], sequence:[0], random actions:[300], e:[0.6]
INFO:__main__:episode: 102, state: init state:[[12 37  0]], score: [78], loss:[0.510684383655], sequence:[0], random actions:[281], e:[0.6]
INFO:__main__:episode: 103, state: init state:[[12 54  0]], score: [-10], loss:[0.570551657787], sequence:[0], random actions:[308], e:[0.6]
INFO:__main__:episode: 104, state: init state:[[13 11  1]], score: [62], loss:[0.556275446032], sequence:[0], random actions:[296], e:[0.59]
INFO:__main__:episode: 105, state: init state:[[13 28  1]], score: [12], loss:[0.607988332047], sequence:[0], random actions:[295], e:[0.59]
INFO:__main__:episode: 106, state: init state:[[13 45  0]], score: [82], loss:[0.575986731012], sequence:[0], random actions:[302], e:[0.59]
INFO:__main__:episode: 107, state: init state:[[14  2  1]], score: [14], loss:[0.643262195517], sequence:[0], random actions:[297], e:[0.58]
INFO:__main__:episode: 108, state: init state:[[14 19  0]], score: [16], loss:[0.544238294435], sequence:[0], random actions:[290], e:[0.58]
INFO:__main__:episode: 109, state: init state:[[14 36  0]], score: [0], loss:[0.466037134833], sequence:[0], random actions:[274], e:[0.58]
INFO:__main__:episode: 110, state: init state:[[14 53  0]], score: [54], loss:[0.427773669158], sequence:[0], random actions:[292], e:[0.58]
INFO:__main__:episode: 111, state: init state:[[15 10  1]], score: [98], loss:[0.441583516917], sequence:[0], random actions:[279], e:[0.57]
INFO:__main__:episode: 112, state: init state:[[15 27  1]], score: [88], loss:[0.383043770889], sequence:[0], random actions:[297], e:[0.57]
INFO:__main__:episode: 113, state: init state:[[15 44  0]], score: [100], loss:[0.501894254398], sequence:[0], random actions:[286], e:[0.57]
INFO:__main__:episode: 114, state: init state:[[16  1  1]], score: [114], loss:[0.417044152846], sequence:[0], random actions:[283], e:[0.56]
INFO:__main__:episode: 115, state: init state:[[16 18  1]], score: [174], loss:[0.429723597708], sequence:[0], random actions:[267], e:[0.56]
INFO:__main__:episode: 116, state: init state:[[16 35  0]], score: [154], loss:[0.606455671908], sequence:[0], random actions:[279], e:[0.56]
INFO:__main__:episode: 117, state: init state:[[16 52  0]], score: [144], loss:[0.354003629519], sequence:[0], random actions:[287], e:[0.56]
INFO:__main__:episode: 118, state: init state:[[17  9  1]], score: [196], loss:[0.39487978073], sequence:[0], random actions:[268], e:[0.55]
INFO:__main__:episode: 119, state: init state:[[17 26  1]], score: [218], loss:[0.199977166404], sequence:[0], random actions:[264], e:[0.55]
INFO:__main__:episode: 120, state: init state:[[17 43  0]], score: [216], loss:[0.395980791402], sequence:[0], random actions:[265], e:[0.55]
INFO:__main__:episode: 121, state: init state:[[18  0  0]], score: [242], loss:[0.075725250869], sequence:[0], random actions:[269], e:[0.55]
INFO:__main__:episode: 122, state: init state:[[18 17  0]], score: [198], loss:[0.091964261409], sequence:[0], random actions:[288], e:[0.54]
INFO:__main__:episode: 123, state: init state:[[18 34  1]], score: [250], loss:[0.0197112323523], sequence:[0], random actions:[260], e:[0.54]
INFO:__main__:episode: 124, state: init state:[[18 51  0]], score: [246], loss:[0.0484990017399], sequence:[0], random actions:[272], e:[0.54]
INFO:__main__:episode: 125, state: init state:[[19  8  1]], score: [226], loss:[0.0281846597726], sequence:[0], random actions:[267], e:[0.53]
INFO:__main__:episode: 126, state: init state:[[19 25  1]], score: [268], loss:[0.0291347486012], sequence:[0], random actions:[259], e:[0.53]
INFO:__main__:episode: 127, state: init state:[[19 42  1]], score: [202], loss:[0.0306332391672], sequence:[0], random actions:[288], e:[0.53]
INFO:__main__:episode: 128, state: init state:[[19 59  1]], score: [226], loss:[0.0832616734146], sequence:[0], random actions:[254], e:[0.53]
